index,original_title,overview,release_date,title,cast,director,genres,imdb_title_id,keywords
174,The Incredible Hulk,"Scientist Bruce Banner scours the planet for an antidote to the unbridled force of rage within him: the Hulk. But when the military masterminds who dream of exploiting his powers force him back to civilization, he finds himself coming face to face with a new, deadly foe.",2008-06-12,The Incredible Hulk,Edward Norton Liv Tyler Tim Roth William Hurt Tim Blake Nelson,Louis Leterrier,Science Fiction Action Adventure,tt0800080,new york rio de janeiro marvel comic superhero based on comic book
175,The BFG,"The BFG is no ordinary bone-crunching giant. He is far too nice and jumbly. It's lucky for Sophie that he is. Had she been carried off in the middle of the night by the Bloodbottler, or any of the other giants—rather than the BFG—she would have soon become breakfast. When Sophie hears that the giants are flush-bunking off to England to swollomp a few nice little chiddlers, she decides she must stop them once and for all. And the BFG is going to help her!",2016-06-01,The BFG,Ruby Barnhill Mark Rylance Rebecca Hall Jemaine Clement Bill Hader,Steven Spielberg,Adventure Family Fantasy,tt0096866,london england england based on novel queen little girl
176,The Revenant,"In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.",2015-12-25,The Revenant,Leonardo DiCaprio Tom Hardy Will Poulter Domhnall Gleeson Paul Anderson,Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu,Western Drama Adventure Thriller,tt1336006,father son relationship rape based on novel mountains winter
177,Turbo,The tale of an ordinary garden snail who dreams of winning the Indy 500.,2013-07-11,Turbo,Ryan Reynolds Paul Giamatti Michael Pe\u00f1a Samuel L. Jackson Luis Guzm\u00e1n,David Soren,Animation Family,tt1860353,underdog car race dream speed power
178,Rango,"When Rango, a lost family pet, accidentally winds up in the gritty, gun-slinging town of Dirt, the less-than-courageous lizard suddenly finds he stands out. Welcomed as the last hope the town has been waiting for, new Sheriff Rango is forced to play his new role to the hilt.",2011-03-02,Rango,Johnny Depp Isla Fisher Ned Beatty Bill Nighy Alfred Molina,Gore Verbinski,Animation Comedy Family Western Adventure,tt1192628,sheriff nevada pet rango chameleon
179,Penguins of Madagascar,"Skipper, Kowalski, Rico and Private join forces with undercover organization The North Wind to stop the villainous Dr. Octavius Brine from destroying the world as we know it.",2014-11-22,Penguins of Madagascar,Tom McGrath Chris Miller Christopher Knights Conrad Vernon John Malkovich,Eric Darnell,Family Animation Adventure Comedy,tt1911658,penguin madagascar 3d
180,The Bourne Ultimatum,"Bourne is brought out of hiding once again by reporter Simon Ross who is trying to unveil Operation Blackbriar, an upgrade to Project Treadstone, in a series of newspaper columns. Information from the reporter stirs a new set of memories, and Bourne must finally uncover his dark past while dodging The Company's best efforts to eradicate him.",2007-08-03,The Bourne Ultimatum,Matt Damon Julia Stiles David Strathairn Scott Glenn Paddy Considine,Paul Greengrass,Action Drama Mystery Thriller,tt0440963,paris corruption madrid assassin based on novel
181,Kung Fu Panda,"When the Valley of Peace is threatened, lazy Po the panda discovers his destiny as the ""chosen one"" and trains to become a kung fu hero, but transforming the unsleek slacker into a brave warrior won't be easy. It's up to Master Shifu and the Furious Five -- Tigress, Crane, Mantis, Viper and Monkey -- to give it a try.",2008-06-04,Kung Fu Panda,Jack Black Dustin Hoffman Angelina Jolie Jackie Chan Lucy Liu,Mark Osborne,Adventure Animation Family Comedy,tt0441773,china martial arts kung fu mentor snake
182,Ant-Man,"Armed with the astonishing ability to shrink in scale but increase in strength, master thief Scott Lang must embrace his inner-hero and help his mentor, Doctor Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world.",2015-07-14,Ant-Man,Paul Rudd Michael Douglas Evangeline Lilly Corey Stoll Bobby Cannavale,Peyton Reed,Science Fiction Action Adventure,tt0478970,marvel comic superhero based on comic book aftercreditsstinger duringcreditsstinger
183,The Hunger Games: Catching Fire,"Katniss Everdeen has returned home safe after winning the 74th Annual Hunger Games along with fellow tribute Peeta Mellark. Winning means that they must turn around and leave their family and close friends, embarking on a ""Victor's Tour"" of the districts. Along the way Katniss senses that a rebellion is simmering, but the Capitol is still very much in control as President Snow prepares the 75th Annual Hunger Games (The Quarter Quell) - a competition that could change Panem forever.",2013-11-15,The Hunger Games: Catching Fire,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks,Francis Lawrence,Adventure Action Science Fiction,tt1951264,competition based on novel mentor secret factory
184,Home,"When Earth is taken over by the overly-confident Boov, an alien race in search of a new place to call home, all humans are promptly relocated, while all Boov get busy reorganizing the planet. But when one resourceful girl, Tip, manages to avoid capture, she finds herself the accidental accomplice of a banished Boov named Oh. The two fugitives realize there’s a lot more at stake than intergalactic relations as they embark on the road trip of a lifetime.",2015-03-18,Home,Jim Parsons Rihanna Steve Martin Jennifer Lopez Matt Jones,Tim Johnson,Fantasy Comedy Animation Science Fiction Family,tt0445984,friendship spaceship space alien alien invasion
185,War of the Worlds,"Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop of his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down.",2005-06-28,War of the Worlds,Tom Cruise Dakota Fanning Miranda Otto Justin Chatwin Tim Robbins,Steven Spielberg,Adventure Thriller Science Fiction,tt0407304,post traumatic stress  disorder new jersey airplane dystopia daughter
186,Bad Boys II,"Out-of-control, trash-talking buddy cops Marcus Burnett and Mike Lowrey of the Miami Narcotics Task Force reunite, and bullets fly, cars crash and laughs explode as they pursue a whacked-out drug lord from the streets of Miami to the barrios of Cuba. But the real fireworks result when Marcus discovers that playboy Mike is secretly romancing Marcus’ sexy sister.",2003-07-18,Bad Boys II,Martin Lawrence Will Smith Jordi Moll\u00e0 Gabrielle Union Peter Stormare,Michael Bay,Adventure Action Comedy Thriller Crime,tt0172156,miami ku klux klan cuba undercover mexican standoff
187,Puss in Boots,"Long before he even met Shrek, the notorious fighter, lover and outlaw Puss in Boots becomes a hero when he sets off on an adventure with the tough and street smart Kitty Softpaws and the mastermind Humpty Dumpty to save his town. This is the true story of The Cat, The Myth, The Legend... The Boots.",2011-10-28,Puss in Boots,Antonio Banderas Salma Hayek Zach Galifianakis Billy Bob Thornton Amy Sedaris,Chris Miller,Action Adventure Animation Family Fantasy,tt0177606,adventure fairy-tale figure
188,Salt,"As a CIA officer, Evelyn Salt swore an oath to duty, honor and country. Her loyalty will be tested when a defector accuses her of being a Russian spy. Salt goes on the run, using all her skills and years of experience as a covert operative to elude capture. Salt's efforts to prove her innocence only serve to cast doubt on her motives, as the hunt to uncover the truth behind her identity continues and the question remains: ""Who is Salt?""",2010-07-21,Salt,Angelina Jolie Liev Schreiber Chiwetel Ejiofor Daniel Olbrychski August Diehl,Phillip Noyce,Action Mystery Thriller,tt0357127,assassination spy cia kidnapping cold war
189,Noah,A man who suffers visions of an apocalyptic deluge takes measures to protect his family from the coming flood.,2014-03-20,Noah,Russell Crowe Jennifer Connelly Emma Watson Logan Lerman Anthony Hopkins,Darren Aronofsky,Drama Adventure,tt1091821,bible god noah 3d
190,The Adventures of Tintin,"Intrepid young reporter, Tintin and his loyal dog, Snowy are thrust into a world of high adventure when they discover a ship carrying an explosive secret. As Tintin is drawn into a centuries-old mystery, Ivan Ivanovitch Sakharine suspects him of stealing a priceless treasure. Tintin and Snowy, with the help of salty, cantankerous Captain Haddock and bumbling detectives, Thompson &amp; Thomson, travel half the world, one step ahead of their enemies as Tintin endeavors to find The Unicorn, a sunken ship that may hold a vast fortune, but also an ancient curse.",2011-10-25,The Adventures of Tintin,Jamie Bell Andy Serkis Daniel Craig Nick Frost Simon Pegg,Steven Spielberg,Adventure Animation Mystery,tt0983193,riddle captain treasure liquor treasure hunt
191,Harry Potter and the Prisoner of Azkaban,"Harry, Ron and Hermione return to Hogwarts for another magic-filled year. Harry comes face to face with danger yet again, this time in the form of escaped convict, Sirius Black – and turns to sympathetic Professor Lupin for help.",2004-05-31,Harry Potter and the Prisoner of Azkaban,Daniel Radcliffe Rupert Grint Emma Watson Gary Oldman David Thewlis,Alfonso Cuar\u00f3n,Adventure Fantasy Family,tt0304141,flying traitor magic cutting the cord child hero
192,Australia,"Set in northern Australia before World War II, an English aristocrat who inherits a sprawling ranch reluctantly pacts with a stock-man in order to protect her new property from a takeover plot. As the pair drive 2,000 head of cattle over unforgiving landscape, they experience the bombing of Darwin, Australia, by Japanese forces firsthand.",2008-11-18,Australia,Nicole Kidman Hugh Jackman Essie Davis David Wenham Bryan Brown,Baz Luhrmann,Drama,tt0096854,missionary world war ii ranch australia british
193,After Earth,"One thousand years after cataclysmic events forced humanity's escape from Earth, Nova Prime has become mankind's new home. Legendary General Cypher Raige returns from an extended tour of duty to his estranged family, ready to be a father to his 13-year-old son, Kitai. When an asteroid storm damages Cypher and Kitai's craft, they crash-land on a now unfamiliar and dangerous Earth. As his father lies dying in the cockpit, Kitai must trek across the hostile terrain to recover their rescue beacon. His whole life, Kitai has wanted nothing more than to be a soldier like his father. Today, he gets his chance.",2013-05-30,After Earth,Jaden Smith Will Smith Sophie Okonedo Zo\u00eb Kravitz Glenn Morshower,M. Night Shyamalan,Science Fiction Action Adventure,tt1815862,dystopia
